2023-07-16 18:09:36.726047;Динамометрические ключи, отвертки, безмены;;Динамометрический ключ Stahlwille Manoskop 30-150 Нм;Пермь;;Stahlwille;;поверка;12;614352073;2023-03-16;2024-03-15;S 1.9;0;;1;Метрология и сервис;"ФБУ ""Пермский ЦСМ""";196
2023-07-16 18:09:36.726048;Динамометрические ключи, отвертки, безмены;KP00003092;Ключ динамометрический предельный NORGAU NTW24-020I 40-200Nm;ЕКБ;NTW24-020I;NORGAU;60307-15;Поверка;12;170908006173;2023-04-19;2024-04-18;ОС 1.2;0;;1;СЦ-Ормет;СЦ-Ормет;230
2023-07-16 18:09:36.726049;Динамометрические ключи, отвертки, безмены;KP00003092;Ключ динамометрический предельный NORGAU NTW24-020I 40-200Nm;ЕКБ;NTW24-020I;NORGAU;60307-15;Поверка;12;170908006210;2023-07-12;2024-07-11;ОС 1.2;0;;1;СЦ-Ормет;СЦ-Ормет;314
2023-07-16 18:09:36.726050;Динамометрические ключи, отвертки, безмены;KP00003092;Динамометрический ключ Norgau NTW24-020I 40-200 Нм;Пермь;NTW24-020I;NORGAU;60307-15;поверка;12;170908006216;2023-03-16;2024-03-15;S 1.9;0;;1;Метрология и сервис;"ФБУ ""Пермский ЦСМ""";196
2023-07-16 18:09:36.726051;Динамометрические ключи, отвертки, безмены;KP00003092;Динамометрический ключ Norgau NTW24-020I 40-200 Нм;Пермь;NTW24-020I;NORGAU;60307-15;поверка;12;170908006243;2023-03-16;2024-03-15;S 1.9;0;;1;Метрология и сервис;"ФБУ ""Пермский ЦСМ""";196
2023-07-16 18:09:36.726052;Динамометрические ключи, отвертки, безмены;DU0010356;Ключ динамометрический предельный GARANT  40-200Nm;ЕКБ;656055200;GARANT;52231-12;Поверка;12;15-331007;2023-02-22;2024-02-21;ОС 1.3;0;;1;СЦ-Ормет;СЦ-Ормет;173
2023-07-16 18:09:36.726053;Динамометрические ключи, отвертки, безмены;KP00003121;Ключ динамометрический предельный 40-200Nm;ЧЛБ; DMZ 200;Gedore;56015-13;Поверка;12;B096597;2023-05-29;2024-05-28;склад;0;;1;СЦ-Ормет;СЦ-Ормет;270
2023-07-16 18:09:36.726054;Динамометрические ключи, отвертки, безмены;KP00003121;Ключ динамометрический предельный 40-200Nm;ЧЛБ; DMZ 200;Gedore;56015-13;Поверка;12;B096598;2023-08-02;2024-08-01;склад;0;;1;Проммаш тест метрология;Проммаш тест метрология;335
2023-07-16 18:09:36.726055;Динамометрические ключи, отвертки, безмены;;Ключ динамометрический предельный STAHLWILLE MANOSKOP 721NF 160-800 Nm;ЕКБ;721NF;STAHLWILLE;;Калибровка;12;612244022;2023-02-22;2024-02-21;скворечник;0;;1;СЦ-Ормет;СЦ-Ормет;173
2023-07-16 18:09:36.726056;Динамометрические ключи, отвертки, безмены;;Динамометрический ключ Stahlwille Manoskop 160-800 Нм;Пермь;721NF;STAHLWILLE;;Поверка;12;612237596;2021-01-01;2022-01-01;-;0;;1;Метрология и сервис;"ФБУ ""Пермский ЦСМ""";-608
2023-07-16 18:09:36.726057;Динамометрические ключи, отвертки, безмены;KP00003178;Ключ динамометрический предельный JTC AUTO LINK 6906 140-840Nm;ЕКБ;JTC-6906;JTC AUTO TOOLS;;Калибровка;12;2111609769;2021-11-28;2022-11-27;ОС 1.1;0;;1;JTC AUTO;JTC AUTO;-278
2023-07-16 18:09:36.726058;Термометры;КР00003300;Термометр инфракрасный Testo 830-T4;ЕКБ;Testo 830-T4;TESTO;51475-12;Поверка;12;42029342/0421;2023-02-27;2024-02-26;ОС 1.1;0;;1;СЦ-Ормет;МетрЛифтСервис;178
2023-07-16 18:09:36.726059;Термометры;КР00003300;Термометр инфракрасный Testo 830-T4;ЕКБ;Testo 830-T4;TESTO;51475-12;Поверка;12;42028890/0221;2023-05-02;2024-05-01;ОС 1.1;0;;1;СЦ-Ормет;"ФБУ ""РОСТЕСТ-МОСКВА""";243
2023-07-16 18:09:36.726060;Термометры;KP00003300;Термометр инфракрасный Testo 830-T4;ЧЛБ;Testo 830-T4;TESTO;51475-12;Поверка;12;42027691/1020;2023-05-31;2024-05-30;офис;0;;1;СЦ-Ормет;ИНЭКС СЕРТ;272
2023-07-16 18:09:36.726061;Термометры;KP00003300;Термометр инфракрасный Testo 830-T4;Пермь;Testo 830-T4;TESTO;51475-12;Поверка;12;42004752/310;2023-03-17;2024-03-16;S 1.7;0;;1;Метрология и сервис;"ФБУ ""Пермский ЦСМ""";197
2023-07-16 18:09:36.726062;Термометры;KP00003289;Термогигрометр TESTO 608-H2;ЕКБ;Testo 608-H2;TESTO;53505-13;Поверка;12;83274739;2023-03-10;2024-03-09;Кухня;0;;1;СЦ-Ормет;"ФБУ ""УРАЛТЕСТ""";190
2023-07-16 18:09:36.726063;Термометры;KP00003289;Термогигрометр TESTO 608-H2;ЕКБ;Testo 608-H3;TESTO;53505-13;Поверка;12;83275270;2023-07-26;2024-07-25;ОС 1.4;0;;1;СЦ-Ормет;"ФБУ ""УРАЛТЕСТ""";328
2023-07-16 18:09:36.726064;Термометры;KP00005517;Штангенциркуль для внутренних канавок типа ШЦЦ-ВК 60-660;ЕКБ;ШЦЦ-ВК;MICRON;;Калибровка;12;Н03172;2022-04-26;2023-04-25;ОС 1.0;0;;1;СЦ-Ормет;"УНИИМ - филиал ФГУП ""ВНИИМ им. Д.И. Менделеева""";-129
2023-07-16 18:09:36.726065;Термометры;KP00005517;Штангенциркуль для внутренних канавок типа ШЦЦ-ВК 60-660;ЕКБ;ШЦЦ-ВК;MICRON;;Калибровка;12;Н03165;2023-03-06;2024-03-05;ОС 1.0;0;;1;СЦ-Ормет;"ФБУ ""УРАЛТЕСТ""";186
2023-07-16 18:09:36.726066;Термометры;KP00001769;Штангенциркуль цифровой;ЧЛБ;412821_100; Holex;71971-18;Поверка;12;Н1583899;2023-06-16;2024-06-15;офис;0;;1;СЦ-Ормет;"ФБУ ""УРАЛТЕСТ""";288
2023-07-16 18:09:36.726067;Термометры;KP00001769;Штангенциркуль цифровой;ЧЛБ;412821_100; Holex;71971-18;Поверка;12;Н1583907;2023-08-01;2024-07-31;склад;0;;1;Проммаш тест метрология;Проммаш тест метрология;334
2023-07-16 18:09:36.726068;Термометры;KP00001769;Штангенциркуль цифровой Holex, модификация 412811, 0-100 мм;Пермь;412811; Holex;62497-15;поверка;12;H1206456;2023-02-20;2024-02-19;S 1.7;0;;1;Метрология и сервис;"ФБУ ""Пермский ЦСМ""";171
